Year,Electorate,Party,PVI
1999,Banks Peninsula,National,0.023929539
1999,Banks Peninsula,NZ First,-0.02153257
1999,Banks Peninsula,Other,-0.011933258
1999,Banks Peninsula,United,0.000294015
1999,Botany,ACT,0.057519205
1999,Botany,Alliance/Progressive,-0.042160425
1999,Botany,Conservative,-0.007418457
1999,Botany,Green,-0.023901296
1999,Botany,Labour,-0.125744169
1999,Botany,National,0.171182213
1999,Botany,NZ First,-0.0109357
1999,Botany,Other,-0.017934918
1999,Botany,United,-0.000606455
1999,Christchurch Central,ACT,-0.018368066
1999,Christchurch Central,Alliance/Progressive,0.036343025
1999,Christchurch Central,Conservative,0.000984263
1999,Christchurch Central,Green,0.015101424
1999,Christchurch Central,Labour,0.004681629
1999,Christchurch Central,National,-0.019670461
1999,Christchurch Central,NZ First,-0.01803257
1999,Christchurch Central,Other,-0.000533258
1999,Christchurch Central,United,-0.000505985
1999,Christchurch East,ACT,-0.033575305
1999,Christchurch East,Alliance/Progressive,0.036020489
1999,Christchurch East,Conservative,0.002376864
1999,Christchurch East,Green,0.002590686
1999,Christchurch East,Labour,0.074290027
1999,Christchurch East,National,-0.063618152
1999,Christchurch East,NZ First,-0.018637289
1999,Christchurch East,Other,0.001559523
1999,Christchurch East,United,-0.001006845
1999,Coromandel,ACT,-0.008080404
1999,Coromandel,Alliance/Progressive,-0.011170072
1999,Coromandel,Conservative,-0.001122436
1999,Coromandel,Green,0.023886427
1999,Coromandel,Labour,-0.024290257
1999,Coromandel,National,0.004468231
1999,Coromandel,NZ First,0.024754033
1999,Coromandel,Other,-0.007638637
1999,Coromandel,United,-0.000806885
1999,Dunedin,ACT,-0.022977424
1999,Dunedin,Alliance/Progressive,0.04451879
1999,Dunedin,Conservative,-0.009220816
1999,Dunedin,Green,0.022286747
1999,Dunedin,Labour,0.089786928
1999,Dunedin,National,-0.093512173
1999,Dunedin,NZ First,-0.028235369
1999,Dunedin,Other,-0.002239717
1999,Dunedin,United,-0.000406965
1999,East Cape,ACT,-0.012173825
1999,East Cape,Alliance/Progressive,0.004134946
1999,East Cape,Conservative,0.005480253
1999,East Cape,Green,-0.007502936
1999,East Cape,Labour,-0.004256318
1999,East Cape,National,-0.000200648
1999,East Cape,NZ First,0.018661341
1999,East Cape,Other,-0.002536458
1999,East Cape,United,-0.001606355
1999,East Coast Bays,ACT,0.062331934
1999,East Coast Bays,Alliance/Progressive,-0.023156975
1999,East Coast Bays,Conservative,-0.000915737
1999,East Coast Bays,Green,-0.006298576
1999,East Coast Bays,Labour,-0.100218371
1999,East Coast Bays,National,0.096429539
1999,East Coast Bays,NZ First,-0.01183257
1999,East Coast Bays,Other,-0.017933258
1999,East Coast Bays,United,0.001594015
1999,Epsom,ACT,0.089947906
1999,Epsom,Alliance/Progressive,-0.041653475
1999,Epsom,Conservative,-0.017314007
1999,Epsom,Green,0.010607595
1999,Epsom,Labour,-0.122992299
1999,Epsom,National,0.116871433
1999,Epsom,NZ First,-0.02003035
1999,Epsom,Other,-0.015631368
1999,Epsom,United,0.000194565
1999,Glendene,ACT,-0.019073136
1999,Glendene,Alliance/Progressive,0.011634196
1999,Glendene,Conservative,0.000480753
1999,Glendene,Green,-0.014202266
1999,Glendene,Labour,0.123930864
1999,Glendene,National,-0.084492219
1999,Glendene,NZ First,-0.01013578
1999,Glendene,Other,-0.007635948
1999,Glendene,United,-0.000506465
1999,Hamilton East,ACT,0.016331934
